conditional,조건부의
institution,기관
strengthen,튼튼히 하다 | 강화하다
foundation,기초 | 토대
transfer,옮기다 | 이전하다
applicant,지원자
minimum,최소한의
mention,언급하다 | 말하다
define,정의하다 | 규정하다
characterize,특징짓다
emerge,등장하다
novel,새로운
generation,세대
ape,유인원
expert,전문가
absolute,절대적인
subjective,주관적인
relative to,~와 비교해서
shift,바꾸다
state,상태
crash,붕괴
command,명령
distinguish,구분하다
confirm,확인하다 | 확증하다
bias,편견 | 편형
share,비율
explanation,설명
maintain,유지하다
stroke,뇌졸증
ban,금지
founder,창시자
rhino,코뿔소
observer,논평가
remove,제거하다
setting,설정
apply,적용되다
loop,순환